data,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15,ch16
2023-07-23T09:40:01+00:00,-45.11,-58.85,-67.11,-59.88,-65.70,-51.90,-50.96,-41.10,-48.44,-43.73,-54.36,-51.59,-57.93,-50.37,-47.80,-53.96
2023-07-23T09:41:01+00:00,-45.16,-57.80,-67.27,-58.39,-66.13,-51.97,-50.94,-41.04,-48.24,-43.81,-54.35,-51.12,-57.90,-50.42,-47.52,-54.02
2023-07-23T09:42:01+00:00,-45.19,-58.42,-67.25,-58.73,-66.15,-51.99,-51.16,-41.05,-48.35,-43.71,-54.50,-50.89,-57.95,-50.39,-47.62,-53.77
2023-07-23T09:43:01+00:00,-44.96,-58.01,-66.48,-58.69,-65.60,-51.80,-50.89,-41.24,-48.22,-43.70,-54.37,-50.85,-57.90,-50.34,-47.82,-53.87
2023-07-23T09:44:01+00:00,-43.73,-57.84,-66.18,-58.68,-65.92,-51.86,-51.34,-41.11,-48.30,-43.71,-54.70,-51.04,-57.95,-50.22,-47.63,-53.99
2023-07-23T09:45:01+00:00,-43.80,-57.64,-66.06,-58.79,-66.56,-51.91,-50.94,-41.26,-48.29,-43.75,-54.14,-50.96,-57.70,-50.11,-47.88,-54.06
2023-07-23T09:46:01+00:00,-42.97,-57.82,-65.51,-58.56,-66.49,-52.03,-50.90,-41.08,-48.32,-43.76,-54.55,-50.67,-57.99,-50.27,-47.88,-53.99
2023-07-23T09:47:01+00:00,-43.00,-58.11,-65.61,-58.93,-66.27,-51.98,-50.93,-41.10,-48.40,-43.63,-54.44,-50.97,-57.88,-50.17,-47.49,-54.17
2023-07-23T09:48:01+00:00,-42.82,-58.19,-65.64,-58.50,-66.22,-52.02,-50.82,-41.16,-48.18,-43.56,-54.22,-51.19,-57.77,-50.01,-47.66,-54.51
2023-07-23T09:49:01+00:00,-42.99,-57.98,-64.52,-59.19,-67.21,-52.01,-50.96,-41.25,-48.38,-43.40,-54.19,-50.82,-57.87,-50.09,-47.57,-54.35
2023-07-23T09:50:01+00:00,-43.07,-57.73,-65.98,-59.00,-66.16,-51.93,-51.06,-41.14,-48.20,-43.53,-54.08,-51.06,-58.20,-50.05,-47.47,-54.68
2023-07-23T09:51:01+00:00,-42.96,-57.10,-66.40,-59.34,-65.74,-51.87,-50.98,-41.16,-48.48,-43.52,-54.57,-51.16,-58.30,-50.03,-47.66,-54.60
2023-07-23T09:52:01+00:00,-43.04,-57.82,-66.59,-59.15,-66.90,-51.95,-51.29,-41.27,-48.31,-43.71,-54.33,-51.28,-58.25,-50.01,-47.53,-54.61
2023-07-23T09:53:01+00:00,-43.09,-57.65,-66.86,-59.01,-66.44,-51.90,-51.02,-41.00,-48.43,-43.54,-54.04,-51.25,-58.57,-49.67,-47.64,-54.94
2023-07-23T09:54:01+00:00,-43.30,-58.12,-67.13,-58.81,-66.28,-51.84,-51.50,-40.94,-48.20,-43.56,-54.24,-51.25,-58.42,-49.74,-47.42,-55.24
2023-07-23T09:55:01+00:00,-43.02,-57.90,-66.52,-58.81,-66.24,-52.05,-51.79,-41.28,-48.25,-43.67,-54.15,-51.43,-58.33,-49.75,-47.79,-55.40
2023-07-23T09:56:01+00:00,-43.31,-57.17,-66.05,-58.70,-61.99,-52.16,-51.68,-41.08,-48.31,-43.67,-54.58,-51.43,-58.23,-49.72,-47.54,-55.01
2023-07-23T09:57:01+00:00,-43.10,-57.09,-66.25,-58.96,-65.85,-51.86,-51.60,-41.05,-48.30,-43.71,-54.33,-51.32,-58.36,-49.80,-47.64,-54.79
2023-07-23T09:58:01+00:00,-42.86,-58.17,-65.90,-58.88,-65.59,-51.87,-51.76,-41.17,-48.34,-43.74,-54.41,-51.30,-58.35,-49.61,-47.70,-55.37
2023-07-23T09:59:01+00:00,-42.95,-57.22,-65.56,-58.54,-64.93,-52.04,-51.67,-41.20,-48.28,-43.76,-54.52,-51.05,-58.31,-49.51,-47.65,-55.26
2023-07-23T10:00:01+00:00,-42.85,-57.68,-65.55,-59.12,-65.77,-51.94,-51.29,-41.13,-48.39,-43.88,-54.44,-51.21,-58.49,-49.50,-47.54,-55.09
